"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43128599999","2024-01-01T18:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0036,1","99999,9,9,N","004000,1,9,9","+0180,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET060METAR VOHS 011830Z 12007KT 4000 HZ FEW020 18/16 Q1017 NOSIG=",
"43128599999","2024-01-01T19:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0036,1","99999,9,9,N","004000,1,9,9","+0180,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET060METAR VOHS 011900Z 12007KT 4000 HZ FEW020 18/16 Q1017 NOSIG=",
"43128599999","2024-01-01T19:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0036,1","99999,9,9,N","004000,1,9,9","+0180,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET060METAR VOHS 011930Z 12007KT 4000 HZ FEW020 18/16 Q1017 NOSIG=",
"43128599999","2024-01-01T20:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","130,1,N,0036,1","99999,9,9,N","004000,1,9,9","+0170,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET065METAR VOHS 012000Z 13007KT 4000 HZ FEW020 17/16 Q1017 TEMPO 3000=",
"43128599999","2024-01-01T20:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","140,1,N,0036,1","99999,9,9,N","003000,1,9,9","+0170,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET060METAR VOHS 012030Z 14007KT 3000 HZ FEW020 17/16 Q1017 NOSIG=",
"43128599999","2024-01-01T21:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","140,1,N,0036,1","99999,9,9,N","003000,1,9,9","+0170,1","+0160,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10160,1,99999,9","05,1",,,"MET060METAR VOHS 012100Z 14007KT 3000 HZ FEW020 17/16 Q1016 NOSIG=",
"43128599999","2024-01-01T21:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0021,1","99999,9,9,N","002500,1,9,9","+0160,1","+0150,1","99999,9",,"04,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10160,1,99999,9","10,1",,,"MET065METAR VOHS 012130Z 11004KT 2500 BR SCT010 16/15 Q1016 TEMPO 1500=",
"43128599999","2024-01-01T22:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0021,1","99999,9,9,N","002000,1,9,9","+0160,1","+0150,1","99999,9",,"04,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10160,1,99999,9","10,1",,,"MET060METAR VOHS 012200Z 12004KT 2000 BR SCT010 16/15 Q1016 NOSIG=",
"43128599999","2024-01-01T22:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0015,1","99999,9,9,N","002000,1,9,9","+0150,1","+0140,1","99999,9",,"04,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10160,1,99999,9","10,1",,,"MET065METAR VOHS 012230Z VRB03KT 2000 BR SCT008 15/14 Q1016 TEMPO 1500=",
"43128599999","2024-01-01T23:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0021,1","00244,1,C,N","001500,1,9,9","+0150,1","+0140,1","99999,9","09,U,9999,9","07,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10160,1,99999,9","10,1",,,"MET088METAR VOHS 012300Z 10004KT 1500 R09/1800 R27/1800 BR BKN008 15/14 Q1016 TEMPO 0800 MIFG=",
"43128599999","2024-01-01T23:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0021,1","00244,1,C,N","001000,1,9,9","+0150,1","+0140,1","99999,9","09,U,9999,9","07,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10160,1,99999,9","10,1",,,"MET088METAR VOHS 012330Z 12004KT 1000 R09/1200 R27/1200 BR BKN008 15/14 Q1016 TEMPO 0800 MIFG=",
"43128599999","2024-01-02T00:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0021,1","00244,1,C,N","000650,1,9,9","+0160,1","+0140,1","99999,9","09,U,9999,9","07,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10170,1,99999,9","12,1",,,"MET084METAR VOHS 020000Z 12004KT 0650 R09/0840 R27/0840 MIFG BKN008 16/14 Q1017 TEMPO 500=",
