tmpf_c,dwpf_c,relh,drct,sknt,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,airport,hour,low_visibility,LATITUDE,LONGITUDE,ELEVATION,hour_of_day,day,month,wx_+SHRA,wx_+TSRA,wx_-SHRA,wx_-TSRA,"wx_-TSRA,fog","wx_-TSRA,haze",wx_BLDU,wx_Heavy DZ,wx_Heavy RA,wx_In the vicinity RA,wx_In the vicinity SH,wx_In the vicinity TS,wx_Light DZ,wx_Light RA,wx_Light TS,wx_MIFG,"wx_MIFG,fog",wx_Moderate BR,wx_Moderate DS,wx_Moderate DU,wx_Moderate DZ,wx_Moderate FG,wx_Moderate FU,wx_Moderate HZ,wx_Moderate RA,wx_Moderate TS,wx_NoWX,"wx_NoWX,fog","wx_NoWX,gusty","wx_NoWX,haze",wx_SHRA,"wx_SHRA,haze,tempo,gusty",wx_TSRA,temp_diff,turbulence
27,15,47,100,8,1014,2,8,4,4,1,1,1000,10000,999,999,2,10,0,17.2333333,78.4166666,617,10,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12,0
26,15,50,100,10,1014,2,10,4,4,1,1,1000,10000,999,999,2,11,0,17.2333333,78.4166666,617,11,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,0
26,15,50,100,10,1015,2,10,4,4,1,1,1000,10000,999,999,2,11,0,17.2333333,78.4166666,617,11,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,0
25,14,50,100,8,1015,2,8,4,4,1,1,1000,10000,999,999,2,12,0,17.2333333,78.4166666,617,12,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,0
23,14,56,100,8,1016,2,8,4,4,1,1,1000,10000,999,999,2,12,0,17.2333333,78.4166666,617,12,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9,0
23,15,60,100,8,1016,2,8,4,4,1,1,1000,10000,999,999,2,13,0,17.2333333,78.4166666,617,13,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8,0
22,15,64,100,7,1017,2,7,4,4,1,1,1000,10000,999,999,2,13,0,17.2333333,78.4166666,617,13,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7,0
21,15,68,100,7,1017,2,7,4,4,1,1,1000,10000,999,999,2,14,0,17.2333333,78.4166666,617,14,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6,0
21,17,77,100,8,1017,2,8,4,4,1,1,1000,10000,999,999,2,14,0,17.2333333,78.4166666,617,14,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,0
20,15,72,100,8,1018,2,8,4,4,1,1,1000,10000,999,999,2,15,0,17.2333333,78.4166666,617,15,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5,0
